2023-07-23 13:35:30.146 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:30.149 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.152 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.156 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:30.159 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:30.162 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:30.165 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.168 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.172 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.176 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.180 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.183 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.187 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:30.190 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:30.193 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.196 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.199 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.202 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.206 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:30.209 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:30.212 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.215 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.218 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.222 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:30.226 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:30.229 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.233 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:30.236 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.239 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.242 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.245 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.249 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:30.252 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.255 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.258 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.261 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.264 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.267 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.271 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:30.275 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:30.279 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.283 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:30.286 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:30.290 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:30.295 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:30.299 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:30.302 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.306 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:30.310 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:30.314 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:30.320 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:30.326 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.331 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.334 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.338 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.341 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.344 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.347 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.350 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.354 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:30.357 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.361 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.364 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:30.368 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:30.371 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:30.376 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.379 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.382 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.386 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:30.389 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.392 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.396 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:30.399 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:30.402 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.405 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.408 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.412 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.415 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:30.419 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:30.423 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:30.427 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.431 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:30.434 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:30.437 [info] > git rev-parse --show-toplevel [0ms]
